FIRM,Class,Start,End,TOD,FIRMF,Length,Night,Gap,WS,Idx,Base,StartAdj,LenAdj,Comp,Trans,Press,P1S,P1L,P2S,P2L,MalAdj,NFZ,WNFZ,AFZ,WAFZ,MFZ,WMFZ,NBad,TIW,RIW,HIW,SIW,CCW
1,0,1230,1860,-1,1,630,1,780,0,3,3.00,0.00,0.00,0.00,0.00,-2.00,2,660,2,720,0,0,1,0,0,0,0,0,1380,0,0,1,0.00
0,0,1230,1830,-1,0,600,1,780,0,4,3.00,0.00,0.00,0.00,0.00,-3.00,1,660,2,690,1,0,1,0,0,0,0,0,2660,0,1,1,0.00
4,1,1260,1980,1530,2,720,0,750,0,2,6.00,0.00,0.00,0.00,-1.00,-0.67,2,720,-3,600,1,0,1,0,0,0,0,0,3270,1,1,1,0.00
-3,0,505,1165,-1,-3,660,0,850,0,8,6.00,0.00,0.00,0.00,-1.00,-7.67,-3,740,-4,765,0,0,0,0,1,0,0,0,3710,1,4,6,5.00
2,1,1310,2035,1530,0,725,0,775,1,3,6.00,0.00,0.00,0.00,-2.00,-1.67,1,390,5,255,1,0,1,0,0,0,0,0,645,2,0,2,7.00
5,0,954,1434,-1,5,480,0,999,1,1,6.00,0.00,0.00,0.00,0.00,0.00,11,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0.00
1,0,385,925,-1,1,540,0,999,0,4,6.00,-1.50,0.00,0.00,-1.00,-2.67,1,480,2,619,1,0,0,0,1,0,1,0,2583,1,1,2,0.00
0,0,1047,1675,-1,0,628,1,647,0,2,3.00,0.00,0.00,-1.25,-1.00,-1.00,2,525,-10,450,1,0,1,0,0,0,0,0,2595,1,4,5,2.50
5,1,1310,2035,1530,2,725,0,999,1,1,6.00,0.00,0.00,0.00,-1.00,0.00,-2,819,3,720,1,0,1,0,0,0,0,0,1539,1,1,2,0.00
0,0,870,1315,-1,0,445,0,660,0,5,6.00,0.00,0.00,0.00,-3.00,-3.33,-2,525,3,470,0,0,0,0,1,0,0,0,2525,3,2,2,2.50
